"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication"
"226","COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC","COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC","SRC inhibitor","CSK|LCK|RIPK2","",""
"227","CC(C)[C@@]1(NC(=O)[C@@H]2CC3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O","CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O","adrenergic receptor antagonist|prolactin inhibitor","ADRA1A|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7","neurology/psychiatry","senile dementia|cerebrovascular insufficiency"
"228","COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC","COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC","vesicular monoamine transporter inhibitor","SLC18A1|SLC18A2","cardiology","hypertension"
"229","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor","AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1","",""
"230","Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1","Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1","diacylglycerol kinase inhibitor|protein kinase inhibitor","DGKA","",""
"231","Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1","Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1","beta amyloid protein neurotoxicity inhibitor","APP","",""
"232","O=C(O)COc1cccc(-c2ocnc2-c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1","O=C(O)COc1cccc(-c2ocnc2-c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1","IP1 prostacyclin receptor agonist","PTGIR","",""
"233","CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1","CN1CCC[C@@H](CC2c3ccccc3Sc3ccccc32)C1","acetylcholine receptor antagonist","CHRM5","neurology/psychiatry","Parkinson's Disease"
"234","NC(=O)OCC(O)COc1ccc(Cl)cc1","NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1","muscle relaxant","","neurology/psychiatry","spasms"
"235","OC(c1ccccc1)C1CCN(CCc2ccccc2)CC1","O[C@H](c1ccccc1)C1CCN(CCc2ccccc2)CC1","serotonin receptor antagonist","HTR2A|HTR2B|HTR2C","",""
"236","Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1","Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1","lipoprotein lipase activator","LPL|PPARA|SLCO1B1|SLCO1B3|SLCO2B1","endocrinology|cardiology","hyperlipidemia|coronary heart disease"
"237","Cc1cc(=O)oc2cc(O)ccc12","Cc1cc(=O)oc2cc(O)ccc12","monoamine oxidase inhibitor","MAOA|MAOB","",""
"238","Clc1cccc(SC2CCNCC2)n1","Clc1cccc(SC2CCNCC2)n1","serotonin receptor agonist","HTR1B","",""
"239","CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","dopamine receptor antagonist","ADRA1A|CALM1|CALY|DRD2|DRD4|HRH1|HTR2A|HTR2C|S100A4|TNNC1","neurology/psychiatry","schizophrenia"
"240","O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1","O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1","dopamine receptor antagonist","DRD1|DRD2|DRD3|DRD4|DRD5|GRIN2B|HRH1|HTR1A|HTR1D|HTR2A|HTR2B|HTR7|KCNH1","neurology/psychiatry","schizophrenia|Tourette's disorder"
"241","O=C1NCCN1c1ncc([N+](=O)[O-])s1","O=C1NCCN1c1ncc([N+](=O)[O-])s1","phosphofructokinase inhibitor","","infectious disease","schistosomiasis"
"242","C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl","C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl","sodium/potassium/chloride transporter inhibitor","ATP1A1|SLC12A1","cardiology|gastroenterology|nephrology|rheumatology","hypertension|congestive heart failure|edema|hepatic cirrhosis|chronic renal failure|nephrotic syndrome"
"243","CC(/C=C/c1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O","C[C@@H](/C=C/c1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O","lipoxygenase inhibitor","ALOX5","",""
"244","CNC(C)C(O)c1ccccc1","CN[C@@H](C)[C@H](O)c1ccccc1","adrenergic receptor agonist","ACHE|ADRA1A|ADRB2|SLC18A2|SLC6A2","cardiology|pulmonary|neurology/psychiatry|endocrinology","hypotension|asthma|narcolepsy|obesity"
"245","CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1","CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1","opioid receptor agonist","OPRK1","",""
"246","NC(=O)CNCCC(c1ccccc1)c1ccccc1","NC(=O)CNCCC(c1ccccc1)c1ccccc1","glutamate receptor antagonist","","",""
"247","COc1ccc2cc(CCC(C)=O)ccc2c1","COc1ccc2cc(CCC(C)=O)ccc2c1","cyclooxygenase inhibitor","PTGS1|PTGS2","rheumatology","rheumatoid arthritis|osteoarthritis"
"248","COc1ccccc1N1CCN(CCN2C(=O)c3ccccc3C(C)(C)C2=O)CC1","COc1ccccc1N1CCN(CCN2C(=O)c3ccccc3C(C)(C)C2=O)CC1","adrenergic receptor antagonist","ADRA2A|ADRA2B|ADRA2C","",""
"249","C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1","C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1","carnitine palmitoyltransferase inhibitor","CPT1A","cardiology","angina pectoris"
"250","C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)OC3O[C@]4(C)CC[C@@H]1[C@]32OO4","C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4","DNA synthesis inhibitor","","infectious disease","malaria"
"251","COc1ccc(C(=O)CC2(O)C(=O)Nc3c(Cl)ccc(Cl)c32)cc1","COc1ccc(C(=O)C[C@@]2(O)C(=O)Nc3c(Cl)ccc(Cl)c32)cc1","apoptosis inhibitor","EWSR1|FLI1","",""
"252","C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1","C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1","IGF-1 inhibitor","AKT1|IGF1R","",""
"253","CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1","CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1","potassium channel blocker","ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2","cardiology","ventricular arrhythmias"
"254","COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC","COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC","SYK inhibitor","RET|SYK","",""
"255","C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O","C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O","microtubule inhibitor","ACTB","",""
"256","CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O","CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O","BCL inhibitor","BCL2|BCL2L1|MCL1","",""
"257","O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1","O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1","retinoid receptor agonist","RARG","",""
"258","N#Cc1ccc(COC[C@H]2O[C@@H](n3c(NCc4ccc(Cl)c(Cl)c4)nc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1","N#Cc1ccc(COC[C@H]2O[C@@H](n3c(NCc4ccc(Cl)c(Cl)c4)nc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1","HSP inhibitor","HSPA1A","",""
"259","Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12","Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12","IGF-1 inhibitor","AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB","",""
"260","CN(C)C(=O)n1nnnc1Cc1ccc(-c2ccccc2)cc1","CN(C)C(=O)n1nnnc1Cc1ccc(-c2ccccc2)cc1","FAAH inhibitor|FAAH reuptake inhibitor","FAAH","",""
"261","CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1","CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1","HSP inhibitor","HSP90AA1|HSP90AB1","",""
"262","O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1","O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1","IKK inhibitor","CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1","",""
"263","NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O","NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O","IKK inhibitor","IKBKB","",""
"264","COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC","COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC","VEGFR inhibitor","FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB","oncology","renal cell carcinoma (RCC)"
"265","C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1","C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1","WEE1 kinase inhibitor","WEE1","",""
"266","S=C=NCCc1ccccc1","S=C=NCCc1ccccc1","anticancer agent","CYP2E1","",""
"267","O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br","O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br","CC chemokine receptor antagonist","CXCR2","",""
"268","CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1","CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1","PLK inhibitor","BRD4|PLK1|PLK2|PLK3","",""
"269","COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO","COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO","mTOR inhibitor","MTOR","",""
"270","NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O","NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O","nedd activating enzyme inhibitor","NAE1|UBA3","",""
"271","Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1","Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1","mTOR inhibitor|PI3K inhibitor","MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC","",""
"272","NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1","NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1","AKT inhibitor","AKT1|AKT2|AKT3","",""
"273","COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO","COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO","mTOR inhibitor","MTOR","",""
"274","COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCOCCN(C)C","COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCOCCN(C)C","histone lysine methyltransferase inhibitor","EHMT2","",""
"275","CC1=CC(=O)c2ccccc2C1=O","CC1=CC(=O)c2ccccc2C1=O","mitochondrial DNA polymerase inhibitor|phosphatase inhibitor","AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1","gastroenterology|neurology/psychiatry|dermatology|rheumatology","ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis"
"276","COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC","COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC","PLK inhibitor","PLK1|PLK3","",""
"277","COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1","COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1","tubulin polymerization inhibitor","TUBB","",""
"278","C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O","C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O","caspase activator","CASP3","",""
"279","CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O","CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O","HMGCR inhibitor","AHR|DPP4|HMGCR","neurology/psychiatry|cardiology","stroke|heart attack"
"280","OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21","O[C@@H](CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21","cytochrome C release inhibitor","BAX","",""
"281","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1","FLT3 inhibitor|JAK inhibitor","BRD4|JAK1|JAK2|JAK3|TYK2","hematologic malignancy","myelofibrosis"
"282","Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O","Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O","BCL inhibitor|MCL1 inhibitor","BCL2","",""
"283","O=C(NC1CC1)c1cc(-c2cccs2)on1","O=C(NC1CC1)c1cc(-c2cccs2)on1","neural stem cell inducer","NEUROD1","",""
"284","O=C1[C@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2ccccc12","O=C1[C@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2ccccc12","beta-catenin inhibitor","CTNNB1","",""
"285","Cc1ccc(/C=C2/CNC/C(=C\c3ccc(C)cc3)C2=O)cc1","Cc1ccc(/C=C2\CNC/C(=C\c3ccc(C)cc3)C2=O)cc1","ubiquitin specific protease inhibitor","SENP2|USP1|USP2|USP7","",""
"286","CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O","CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O","proteasome inhibitor","","hematologic malignancy","multiple myeloma"
"287","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C","EGFR inhibitor","EGFR|ERBB2|KDR","oncology","breast cancer"
"288","Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]","Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]","KATP activator|Kir6 channel (KATP) activator|vasodilator","ABCC9|KCNJ1|KCNJ10|KCNJ11|KCNJ8|PTGS1","endocrinology","androgenetic alopecia"
"289","CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC","CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC","topoisomerase inhibitor","TOP1","oncology","colorectal cancer"
"290","OCc1ccc(-c2ccc(-c3ccc(CO)s3)o2)s1","OCc1ccc(-c2ccc(-c3ccc(CO)s3)o2)s1","MDM inhibitor","MDM2","",""
"291","CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1","CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1","PARP inhibitor","PARP1","",""
"292","c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1","c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1","bone morphogenic protein inhibitor","ACVR1|BMPR1A","",""
"293","CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21","CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21","PKC inhibitor","PDPK1|PIM1|PRKCI|PRKCZ","",""
"294","O=C(Oc1ccc([N+](=O)[O-])cc1)N1CCC(C(O)(c2ccc3c(c2)OCO3)c2ccc3c(c2)OCO3)CC1","O=C(Oc1ccc([N+](=O)[O-])cc1)N1CCC(C(O)(c2ccc3c(c2)OCO3)c2ccc3c(c2)OCO3)CC1","monoacylglucerol lipase inhibitor","MGLL","",""
"295","Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12","Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12","DNA protein kinase inhibitor|PI3K inhibitor","PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC","",""
"296","C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O","C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O","fatty acid synthase inhibitor","FASN","infectious disease","fungal infection"
"297","Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21","Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21","glycogen synthase kinase inhibitor","CCNA2|CDK2|GSK3A|GSK3B","",""
"298","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C/c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)C1=Cc1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","histone acetyltransferase inhibitor","EP300","",""
"299","COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O","COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O","survivin inhibitor","BIRC5","",""
"300","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C\CC[C@@]1(C)O[C@H]21","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21","NFkB pathway inhibitor","","",""
"301","CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)C1C[C@@H]1O[C@@]13[C@@H]2O","CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)[C@@H]1C[C@@H]1O[C@@]13[C@@H]2O","RNA polymerase inhibitor","RELA","",""
"302","CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O","CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O","PKC activator","KCNT2|TRPV4","",""
"303","Cc1cc(C)c(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c(C)c1","Cc1cc(C)c(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c(C)c1","phospholipase activator","PLCB2|PLCB3|PLCD1|PLCG1|PLCG2","",""
"304","CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O","CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O","NFkB pathway inhibitor|proteasome inhibitor","PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA","hematologic malignancy","multiple myeloma|mantle cell lymphoma (MCL)"
"305","CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1","CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1","glucokinase activator","GCK","",""
"306","CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC","CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(O)O[C@H]2[C@H]1OC(=O)CCC","adenosine receptor agonist|cAMP stimulant","PRKACA","dermatology","skin ulcer"
"307","Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1","Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1","TP53 inhibitor","TP53","",""
"308","CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1","CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1","oxidative stress inducer","HSPA1A","",""
"309","COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1","COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1","calcium channel blocker","ADORA3","cardiology","chronic stable angina|hypertension"
"310","Cc1ccc(S(=O)(=O)/C=C/C#N)cc1","Cc1ccc(S(=O)(=O)/C=C/C#N)cc1","NFkB pathway inhibitor","RELA","",""
"311","C1COC(NC(C2CC2)C2CC2)=N1","C1COC(NC(C2CC2)C2CC2)=N1","adrenergic receptor agonist|imidazoline receptor agonist","ADRA2A","cardiology","hypertension"
"312","CS(=O)CCCCN=C=S","C[S@@](=O)CCCCN=C=S","anticancer agent|aryl hydrocarbon receptor antagonist","NFE2L2","",""
"313","CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21","CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)[C@H]21","ATPase inhibitor|TRPV agonist","TRPV1","",""
"314","CN(C)CCCN1c2ccccc2Sc2ccccc21","CN(C)CCCN1c2ccccc2Sc2ccccc21","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C","neurology/psychiatry","schizophrenia"
"315","O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O","O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O","guanylate cyclase activator","GABBR1","",""
"316","CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F","CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F","RAF inhibitor","BRAF|RAF1","oncology","melanoma"
"317","O=C(CCCCCCCn1cc(-c2cccnc2)nn1)Nc1ccccc1-c1ccccc1","O=C(CCCCCCCn1cc(-c2cccnc2)nn1)Nc1ccccc1-c1ccccc1","NAMPT inhibitor","NAMPT","",""
"318","O=C(CN1C2=NCCN2c2ccccc21)c1ccc(-c2ccccc2)cc1","O=C(CN1C2=NCCN2c2ccccc21)c1ccc(-c2ccccc2)cc1","WNT signaling inhibitor","CTNNB1","",""
"319","Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1","Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1","CC chemokine receptor antagonist","CCR5","infectious disease","human immunodeficiency virus (HIV-1)"
"320","CN1c2cc3c(cc2N=C(c2ccc(C(=O)O)cc2)c2ccccc21)C(C)(C)CCC3(C)C","CN1c2cc3c(cc2N=C(c2ccc(C(=O)O)cc2)c2ccccc21)C(C)(C)CCC3(C)C","retinoid receptor agonist","RARB","",""
"321","COc1ccc2c(c1)c(CCN1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1Cl","COc1ccc2c(c1)c(CCN1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1Cl","cannabinoid receptor agonist","CNR2","",""
"322","O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O","O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O","sodium/glucose cotransporter inhibitor","AQP9|CLCN3|SLC23A1","",""
